policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,encoding,condition,snn_steps,hidden_dim
rate,1000,0.0,0,0.0,-1,252,1,40.15151850572259,1.3300842296513964,1.4946982403236864,4.2103174603174605,rate,noise_0.00,25,96
rate,1001,0.0,0,0.0,-1,254,1,40.04462655469046,1.294054383857611,1.5050564456737432,4.145669291338582,rate,noise_0.00,25,96
rate,1002,0.0,0,0.0,-1,253,1,40.10006430182188,1.2761726200275054,1.5197232379398744,4.07905138339921,rate,noise_0.00,25,96
rate,1003,0.0,0,0.0,-1,252,1,40.00627680024403,1.347619818549316,1.5493947725960227,4.226190476190476,rate,noise_0.00,25,96
rate,1004,0.0,0,0.0,-1,252,1,40.14463588345722,1.3143563500462865,1.47663494712096,4.198412698412699,rate,noise_0.00,25,96
rate,1005,0.0,0,0.0,-1,16,0,2.668203142991254,0.9206559587632801,1.5846632509821625,3.4375,rate,noise_0.00,25,96
rate,1006,0.0,0,0.0,-1,252,1,40.05664652774158,1.3294685294201478,1.5209883805566964,4.238095238095238,rate,noise_0.00,25,96
rate,1007,0.0,0,0.0,-1,251,1,40.00327605750376,1.3391803840106762,1.522501899952904,4.211155378486056,rate,noise_0.00,25,96
rate,1008,0.0,0,0.0,-1,253,1,40.047332106780345,1.3146136221894367,1.4772424630182004,4.1936758893280635,rate,noise_0.00,25,96
rate,1009,0.0,0,0.0,-1,35,0,4.722564130346328,0.3825246121313603,1.6441783459055732,1.8857142857142857,rate,noise_0.00,25,96
rate,1010,0.0,0,0.0,-1,20,0,2.126657379749318,0.5415898079473864,1.6398900763811102,2.1,rate,noise_0.00,25,96
rate,1011,0.0,0,0.0,-1,24,0,4.057852486781379,0.7978885799690382,1.5770026789117007,2.7916666666666665,rate,noise_0.00,25,96
rate,1000,0.04,0,0.0,-1,21,0,3.584639582510405,0.9419275026731277,1.5912275299026162,2.9523809523809526,rate,noise_0.04,25,96
rate,1001,0.04,0,0.0,-1,23,0,3.0252463976727575,0.4866887711437218,1.6000952407218825,1.826086956521739,rate,noise_0.04,25,96
rate,1002,0.04,0,0.0,-1,24,0,3.7383579557709097,0.6062513432530877,1.6116657314515326,2.1666666666666665,rate,noise_0.04,25,96
rate,1003,0.04,0,0.0,-1,21,0,3.488586777539433,0.6636311506267953,1.5851345382167796,2.0,rate,noise_0.04,25,96
rate,1004,0.04,0,0.0,-1,27,0,4.45656223218987,0.7109401406774943,1.588793120473781,2.0,rate,noise_0.04,25,96
rate,1005,0.04,0,0.0,-1,22,0,2.9050492809569612,0.5708989810298565,1.6789177476530661,2.0,rate,noise_0.04,25,96
rate,1006,0.04,0,0.0,-1,26,0,3.5736866506663287,0.5183279575455597,1.6638677199454666,2.230769230769231,rate,noise_0.04,25,96
rate,1007,0.04,0,0.0,-1,69,0,11.319895507733381,1.0891903494454862,1.5580163806648266,2.9420289855072466,rate,noise_0.04,25,96
rate,1008,0.04,0,0.0,-1,20,0,3.2526186442617826,0.6924988701536758,1.6378970589400996,2.4,rate,noise_0.04,25,96
rate,1009,0.04,0,0.0,-1,21,0,2.576935842375045,0.5103697466933198,1.6138348317214448,1.7142857142857142,rate,noise_0.04,25,96
rate,1010,0.04,0,0.0,-1,33,0,5.529188726325654,1.0323698671352712,1.5879788046293017,3.1818181818181817,rate,noise_0.04,25,96
rate,1011,0.04,0,0.0,-1,187,0,29.725069586409337,1.258050712685365,1.5583063189919817,3.3475935828877006,rate,noise_0.04,25,96
rate,1000,0.08,0,0.0,-1,26,0,3.998542669575706,0.5837923675432897,1.6599330856297783,1.8846153846153846,rate,noise_0.08,25,96
rate,1001,0.08,0,0.0,-1,16,0,2.6697004699553784,0.7750166149506776,1.5736542701642313,1.8125,rate,noise_0.08,25,96
rate,1002,0.08,0,0.0,-1,25,0,3.6140995776551668,0.486817415412457,1.6391152421720883,1.64,rate,noise_0.08,25,96
rate,1003,0.08,0,0.0,-1,19,0,3.311871019187365,0.8998799441179712,1.5740272165321838,1.736842105263158,rate,noise_0.08,25,96
rate,1004,0.08,0,0.0,-1,22,0,3.2677467775388123,0.5622084731470435,1.6516681500188257,2.0454545454545454,rate,noise_0.08,25,96
rate,1005,0.08,0,0.0,-1,25,0,3.4729239537426957,0.4855374984180855,1.6474209092708805,2.12,rate,noise_0.08,25,96
rate,1006,0.08,0,0.0,-1,27,0,3.670022588518476,0.4640862709158439,1.6375603167873773,1.5925925925925926,rate,noise_0.08,25,96
rate,1007,0.08,0,0.0,-1,59,0,9.672285523803913,1.136763867042975,1.576811935017834,2.593220338983051,rate,noise_0.08,25,96
rate,1008,0.08,0,0.0,-1,117,0,18.835694855436856,1.1524791050315726,1.556188840768335,2.700854700854701,rate,noise_0.08,25,96
rate,1009,0.08,0,0.0,-1,24,0,3.1801538597916332,0.4941609414799732,1.6394353074486478,1.8333333333333333,rate,noise_0.08,25,96
rate,1010,0.08,0,0.0,-1,22,0,3.8353667968749865,0.7985316301049501,1.5871281344300976,2.772727272727273,rate,noise_0.08,25,96
rate,1011,0.08,0,0.0,-1,26,0,3.669385869629284,0.48666556206859457,1.6573000159961508,2.0,rate,noise_0.08,25,96
rate,1000,0.12,0,0.0,-1,111,0,17.50223386882287,1.0144629386589468,1.5521567316334237,1.954954954954955,rate,noise_0.12,25,96
rate,1001,0.12,0,0.0,-1,30,0,4.505398445630238,0.43804711847419586,1.6299798886402541,1.8,rate,noise_0.12,25,96
rate,1002,0.12,0,0.0,-1,44,0,6.815635595089239,0.38695842873534547,1.563293618262156,1.8636363636363635,rate,noise_0.12,25,96
rate,1003,0.12,0,0.0,-1,20,0,2.734504286621645,0.5447079321471298,1.5536959806331259,1.75,rate,noise_0.12,25,96
rate,1004,0.12,0,0.0,-1,26,0,4.289466179109406,0.6821958534581856,1.556839434342531,2.0,rate,noise_0.12,25,96
rate,1005,0.12,0,0.0,-1,18,0,2.2428205816250295,0.601717770006677,1.645432415177144,1.5555555555555556,rate,noise_0.12,25,96
rate,1006,0.12,0,0.0,-1,19,0,2.3044326812600455,0.5592560636482973,1.5828683974359294,2.0526315789473686,rate,noise_0.12,25,96
rate,1007,0.12,0,0.0,-1,22,0,2.9897056000823685,0.5730628950752804,1.6688555638972962,1.6363636363636365,rate,noise_0.12,25,96
rate,1008,0.12,0,0.0,-1,28,0,4.219085117830744,0.5561756645771779,1.556802065415553,1.8214285714285714,rate,noise_0.12,25,96
rate,1009,0.12,0,0.0,-1,25,0,4.2569349464676085,0.7816616599985295,1.6036679586946936,1.84,rate,noise_0.12,25,96
rate,1010,0.12,0,0.0,-1,18,0,2.1566837927760325,0.6216394295752582,1.6264853580513652,1.7222222222222223,rate,noise_0.12,25,96
rate,1011,0.12,0,0.0,-1,61,0,9.932075471276516,1.0986054266694985,1.605514890183803,1.8688524590163935,rate,noise_0.12,25,96
rate,1000,0.0,2,0.0,-1,22,0,3.4758037580626278,0.5745475150076753,1.5514232548692375,1.9545454545454546,rate,delay_2,25,96
rate,1001,0.0,2,0.0,-1,20,0,2.615340348426685,0.5411218334544927,1.5926612767668202,2.15,rate,delay_2,25,96
rate,1002,0.0,2,0.0,-1,22,0,2.9139489758041646,0.4997133639699673,1.6312091545945002,1.9545454545454546,rate,delay_2,25,96
rate,1003,0.0,2,0.0,-1,26,0,3.5492470453094844,0.42287662336579734,1.5670815542954764,1.6538461538461537,rate,delay_2,25,96
rate,1004,0.0,2,0.0,-1,18,0,2.8662067315726283,0.8594616058266982,1.5858784383769404,2.7777777777777777,rate,delay_2,25,96
rate,1005,0.0,2,0.0,-1,17,0,2.748071600298077,0.7431656419445266,1.5973912926921223,2.2941176470588234,rate,delay_2,25,96
rate,1006,0.0,2,0.0,-1,16,0,2.7729942530324,0.9215079864942507,1.5813946941804726,2.875,rate,delay_2,25,96
rate,1007,0.0,2,0.0,-1,25,0,3.2498010813831577,0.44356819154629135,1.6074763456031707,1.8,rate,delay_2,25,96
rate,1008,0.0,2,0.0,-1,14,0,2.262432232044157,0.8538274693277249,1.6099534541749636,2.7857142857142856,rate,delay_2,25,96
rate,1009,0.0,2,0.0,-1,19,0,3.2507182921442186,0.7948950015839434,1.5714842209687045,2.3157894736842106,rate,delay_2,25,96
rate,1010,0.0,2,0.0,-1,21,0,2.4115778354685964,0.5577507673559945,1.7012819589744324,1.7619047619047619,rate,delay_2,25,96
rate,1011,0.0,2,0.0,-1,16,0,2.5591708732090184,0.8215177968564598,1.642204146379304,2.5625,rate,delay_2,25,96
rate,1000,0.0,0,0.2,-1,252,1,40.15012978953647,1.2925965604813907,1.4708533837792415,4.238095238095238,rate,dropout_0.20,25,96
rate,1001,0.0,0,0.2,-1,20,0,2.174418442899843,0.5525383450564465,1.6276003615717953,2.25,rate,dropout_0.20,25,96
rate,1002,0.0,0,0.2,-1,19,0,2.4375713708914026,0.5285951098733667,1.5619620179152225,1.9473684210526316,rate,dropout_0.20,25,96
rate,1003,0.0,0,0.2,-1,252,1,40.06196434388953,1.2875172212145412,1.4895341500803647,4.166666666666667,rate,dropout_0.20,25,96
rate,1004,0.0,0,0.2,-1,21,0,2.8432107583507054,0.5258266929030863,1.594015588998516,1.9047619047619047,rate,dropout_0.20,25,96
rate,1005,0.0,0,0.2,-1,253,1,40.05998809291822,1.288051445625743,1.4802412639249036,4.229249011857707,rate,dropout_0.20,25,96
rate,1006,0.0,0,0.2,-1,16,0,1.5622165117932922,0.5884187814579195,1.5678091155961367,2.1875,rate,dropout_0.20,25,96
rate,1007,0.0,0,0.2,-1,26,0,3.2263703423567263,0.4730031277143691,1.660933702189284,2.076923076923077,rate,dropout_0.20,25,96
rate,1008,0.0,0,0.2,-1,254,1,40.010482884420924,1.308023434908296,1.5482021265886405,4.181102362204724,rate,dropout_0.20,25,96
rate,1009,0.0,0,0.2,-1,22,0,2.4857118505747717,0.5340225081963274,1.707449398743901,1.9545454545454546,rate,dropout_0.20,25,96
rate,1010,0.0,0,0.2,-1,21,0,2.4641245968836913,0.49330681012287,1.5628365026826088,2.142857142857143,rate,dropout_0.20,25,96
rate,1011,0.0,0,0.2,-1,25,0,3.173193189781372,0.4766002505493407,1.6342026206070517,1.96,rate,dropout_0.20,25,96
rate,1000,0.0,0,0.0,4,27,0,3.7152455603479724,0.44389934664642844,1.666493713641544,2.037037037037037,rate,dead_center,25,96
rate,1001,0.0,0,0.0,4,37,0,5.410231335207366,0.3362666603064651,1.6801896619814298,1.4594594594594594,rate,dead_center,25,96
rate,1002,0.0,0,0.0,4,116,0,17.83447438076345,0.1306004968682596,1.6077318077100557,0.9396551724137931,rate,dead_center,25,96
rate,1003,0.0,0,0.0,4,22,0,2.917305238713601,0.4771332176180151,1.5525479863964697,1.8636363636363635,rate,dead_center,25,96
rate,1004,0.0,0,0.0,4,25,0,3.513569154801509,0.4713920768680201,1.6582444772093403,1.8,rate,dead_center,25,96
rate,1005,0.0,0,0.0,4,47,0,6.80933104316482,0.2480150141700545,1.5992971331736001,1.2553191489361701,rate,dead_center,25,96
rate,1006,0.0,0,0.0,4,78,0,11.621205315195574,0.19450999603752525,1.5829545112513874,1.0128205128205128,rate,dead_center,25,96
rate,1007,0.0,0,0.0,4,23,0,2.9446524414831994,0.4524069225824607,1.5604867074575015,1.8695652173913044,rate,dead_center,25,96
rate,1008,0.0,0,0.0,4,49,0,7.11103277715553,0.25811833921843375,1.679968036947423,1.3061224489795917,rate,dead_center,25,96
rate,1009,0.0,0,0.0,4,54,0,7.915461360195529,0.23735683941463628,1.633638788126748,1.2962962962962963,rate,dead_center,25,96
rate,1010,0.0,0,0.0,4,35,0,4.643115313628845,0.3547890890214332,1.7110532466977721,1.3714285714285714,rate,dead_center,25,96
rate,1011,0.0,0,0.0,4,64,0,9.702692896045589,0.2219032130243506,1.6830328840526296,1.171875,rate,dead_center,25,96
latency,1000,0.0,0,0.0,-1,250,1,40.072151015618616,1.2502067921288544,1.3256991406608807,5.532,latency,noise_0.00,25,96
latency,1001,0.0,0,0.0,-1,252,1,40.04048750221044,1.2498584025160557,1.3403298494211322,5.579365079365079,latency,noise_0.00,25,96
latency,1002,0.0,0,0.0,-1,251,1,40.13181656392065,1.2564254242149067,1.3263838290730825,5.51792828685259,latency,noise_0.00,25,96
latency,1003,0.0,0,0.0,-1,251,1,40.137101472058674,1.2562239478941508,1.3282501378434601,5.52589641434263,latency,noise_0.00,25,96
latency,1004,0.0,0,0.0,-1,250,1,40.06767154205157,1.2495572797161834,1.3261273958249549,5.524,latency,noise_0.00,25,96
latency,1005,0.0,0,0.0,-1,252,1,40.1263985772925,1.261796897723386,1.3314931502902327,5.523809523809524,latency,noise_0.00,25,96
latency,1006,0.0,0,0.0,-1,250,1,40.00452168517533,1.254286737390532,1.323426260074572,5.548,latency,noise_0.00,25,96
latency,1007,0.0,0,0.0,-1,250,1,40.123035690688916,1.2462964848003595,1.3227671546481645,5.54,latency,noise_0.00,25,96
latency,1008,0.0,0,0.0,-1,251,1,40.008980709644256,1.2562375898262912,1.331752461948033,5.51792828685259,latency,noise_0.00,25,96
latency,1009,0.0,0,0.0,-1,249,1,40.02647515025981,1.2523658732827088,1.3244442553191358,5.538152610441767,latency,noise_0.00,25,96
latency,1010,0.0,0,0.0,-1,250,1,40.03945463020548,1.2531220155685556,1.332447617922224,5.536,latency,noise_0.00,25,96
latency,1011,0.0,0,0.0,-1,250,1,40.143667075337156,1.2523524916724902,1.3199144968550298,5.54,latency,noise_0.00,25,96
latency,1000,0.04,0,0.0,-1,17,0,2.8373254896321374,0.879340893967576,1.5522886333903099,6.294117647058823,latency,noise_0.04,25,96
latency,1001,0.04,0,0.0,-1,131,0,20.880967962471324,1.1337714537791297,1.5642439157911014,6.244274809160306,latency,noise_0.04,25,96
latency,1002,0.04,0,0.0,-1,22,0,3.5080625828620065,0.6550271863567864,1.573457029904248,7.2727272727272725,latency,noise_0.04,25,96
latency,1003,0.04,0,0.0,-1,18,0,3.0472846044798394,0.7906339983074595,1.6213874175977803,6.666666666666667,latency,noise_0.04,25,96
latency,1004,0.04,0,0.0,-1,253,1,40.15684606234769,1.263335170032251,1.5190661871092823,5.8853754940711465,latency,noise_0.04,25,96
latency,1005,0.04,0,0.0,-1,32,0,4.624575617565711,0.39422931263064803,1.566566438498285,7.65625,latency,noise_0.04,25,96
latency,1006,0.04,0,0.0,-1,55,0,9.017801070371146,1.170411043726931,1.5633166809061088,5.945454545454545,latency,noise_0.04,25,96
latency,1007,0.04,0,0.0,-1,24,0,3.072088039749995,0.4740706855412646,1.6479377497854966,7.416666666666667,latency,noise_0.04,25,96
latency,1008,0.04,0,0.0,-1,18,0,3.031325625086133,0.8091686358786228,1.6114608885838468,6.5,latency,noise_0.04,25,96
latency,1009,0.04,0,0.0,-1,250,1,40.048829048238034,1.2402114345515334,1.4756775282096624,5.892,latency,noise_0.04,25,96
latency,1010,0.04,0,0.0,-1,16,0,2.818022455386935,0.9198073235873512,1.58204244699168,6.0,latency,noise_0.04,25,96
latency,1011,0.04,0,0.0,-1,21,0,2.885493267974864,0.487411889415317,1.5567485223763209,7.428571428571429,latency,noise_0.04,25,96
latency,1000,0.08,0,0.0,-1,91,0,14.628938573882145,1.0989219586176642,1.5809141214878175,6.593406593406593,latency,noise_0.08,25,96
latency,1001,0.08,0,0.0,-1,20,0,3.4749023592099944,0.9497645118857996,1.5564265416194702,6.7,latency,noise_0.08,25,96
latency,1002,0.08,0,0.0,-1,17,0,2.6835943208435826,0.8201933614922496,1.5871014520038007,7.235294117647059,latency,noise_0.08,25,96
latency,1003,0.08,0,0.0,-1,18,0,3.1058542522271875,0.8079373312963607,1.5859388663891267,7.166666666666667,latency,noise_0.08,25,96
latency,1004,0.08,0,0.0,-1,122,0,19.429064584234897,1.187205517929003,1.5683301973686992,6.336065573770492,latency,noise_0.08,25,96
latency,1005,0.08,0,0.0,-1,19,0,3.275862140987197,0.9101995267425476,1.6093859489033244,6.578947368421052,latency,noise_0.08,25,96
latency,1006,0.08,0,0.0,-1,106,0,16.976502003752497,1.1881517485093132,1.5650278014814953,6.537735849056604,latency,noise_0.08,25,96
latency,1007,0.08,0,0.0,-1,62,0,10.144842510897897,1.089295310716182,1.5891767858693044,6.564516129032258,latency,noise_0.08,25,96
latency,1008,0.08,0,0.0,-1,17,0,2.862347213910331,0.7888276295147554,1.5652821731322148,7.235294117647059,latency,noise_0.08,25,96
latency,1009,0.08,0,0.0,-1,21,0,2.5676868497384735,0.5294193847686286,1.6529170027411157,7.904761904761905,latency,noise_0.08,25,96
latency,1010,0.08,0,0.0,-1,28,0,4.886884383951814,0.9491077175248348,1.551107609344125,6.714285714285714,latency,noise_0.08,25,96
latency,1011,0.08,0,0.0,-1,25,0,3.471139428754801,0.4864157134334631,1.6414215516684045,7.64,latency,noise_0.08,25,96
latency,1000,0.12,0,0.0,-1,24,0,4.082502555152218,0.8356689486672075,1.5639510132288423,6.875,latency,noise_0.12,25,96
latency,1001,0.12,0,0.0,-1,25,0,4.19702721218656,0.738590978544788,1.595623947129564,7.08,latency,noise_0.12,25,96
latency,1002,0.12,0,0.0,-1,16,0,2.5427376020778962,0.8226332254063701,1.5810610737769113,7.0,latency,noise_0.12,25,96
latency,1003,0.12,0,0.0,-1,17,0,2.969617163450649,0.9122590532400213,1.563953320720698,7.235294117647059,latency,noise_0.12,25,96
latency,1004,0.12,0,0.0,-1,32,0,5.297485270148503,0.7658028904302787,1.5606337612856533,7.5,latency,noise_0.12,25,96
latency,1005,0.12,0,0.0,-1,19,0,3.1367135117262652,0.7657632276712426,1.6204541983383858,7.421052631578948,latency,noise_0.12,25,96
latency,1006,0.12,0,0.0,-1,22,0,3.8392985041396783,1.0310164784978333,1.565040395510823,6.409090909090909,latency,noise_0.12,25,96
latency,1007,0.12,0,0.0,-1,36,0,6.1274356144756,0.9238381612713028,1.5683557399467287,7.222222222222222,latency,noise_0.12,25,96
latency,1008,0.12,0,0.0,-1,16,0,2.7251756533878457,0.8169790448205358,1.5647796593660244,6.75,latency,noise_0.12,25,96
